key,id,university_name,country,teaching,international,research,citations,income,total_score,rank,num_students,student_staff_ratio,international_students,female_male_ratio,year,ranking_name,Total University Score,Teaching Score,Research Score,Citation Score,International Score,Income Score,Staff to Student Ratio,Name
60,Washington University in St Louis,Washington University in St Louis,United States of America,54.3,44.9,55.6,99.2,33.5,67,60,0,0,0,0,0,Washington University in St Louis,67,54.3,55.6,99.2,44.9,33.5,0,Washington University in St Louis
62,Utrecht University,Utrecht University,Netherlands,48.1,55.8,64.3,88.1,89.1,66.6,62,0,0,0,0,0,Utrecht University,66.6,48.1,64.3,88.1,55.8,89.1,0,Utrecht University
63,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,United States of America,58,39,54.5,95.9,39.4,66.4,63,0,0,0,0,0,University of North Carolina at Chapel Hill,66.4,58,54.5,95.9,39,39.4,0,University of North Carolina at Chapel Hill
64,Boston University,Boston University,United States of America,57.8,51,49.5,97.7,30.3,66.1,64,0,0,0,0,0,Boston University,66.1,57.8,49.5,97.7,51,30.3,0,Boston University
65,Delft University of Technology,Delft University of Technology,Netherlands,55,84,73.8,61.5,100,65.9,65,0,0,0,0,0,Delft University of Technology,65.9,55,73.8,61.5,84,100,0,Delft University of Technology
65,University of Minnesota,University of Minnesota,United States of America,53.5,35.3,61,88,98.5,65.9,65,0,0,0,0,0,University of Minnesota,65.9,53.5,61,88,35.3,98.5,0,University of Minnesota
67,Leiden University,Leiden University,Netherlands,50.5,64.3,63.1,85.2,49.8,65.7,67,0,0,0,0,0,Leiden University,65.7,50.5,63.1,85.2,64.3,49.8,0,Leiden University
68,University of Southern California,University of Southern California,United States of America,49.3,56.3,58.9,93,38,65.5,68,0,0,0,0,0,University of Southern California,65.5,49.3,58.9,93,56.3,38,0,University of Southern California
69,University of Bristol,University of Bristol,United Kingdom,47.6,82.4,51.6,91.2,40,64.3,69,0,0,0,0,0,University of Bristol,64.3,47.6,51.6,91.2,82.4,40,0,University of Bristol
70,Durham University,Durham University,United Kingdom,47.9,86.4,51.9,87.7,34.4,63.6,70,0,0,0,0,0,Durham University,63.6,47.9,51.9,87.7,86.4,34.4,0,Durham University
71,Erasmus University Rotterdam,Erasmus University Rotterdam,Netherlands,37.2,76.1,55.2,95.6,54.6,63.5,71,0,0,0,0,0,Erasmus University Rotterdam,63.5,37.2,55.2,95.6,76.1,54.6,0,Erasmus University Rotterdam
72,Free University of Berlin,Free University of Berlin,Germany,57.9,69.2,72.2,60.2,35.1,63.2,72,0,0,0,0,0,Free University of Berlin,63.2,57.9,72.2,60.2,69.2,35.1,0,Free University of Berlin
73,Monash University,Monash University,Australia,48.1,87.6,58.5,73.3,79.7,62.5,73,0,0,0,0,0,Monash University,62.5,48.1,58.5,73.3,87.6,79.7,0,Monash University
74,University of Groningen,University of Groningen,Netherlands,43.3,63.9,56.9,84,92.4,62.4,74,0,0,0,0,0,University of Groningen,62.4,43.3,56.9,84,63.9,92.4,0,University of Groningen
75,Pennsylvania State University,Pennsylvania State University,United States of America,50.4,40.8,61.9,80.5,56.2,62.3,75,0,0,0,0,0,Pennsylvania State University,62.3,50.4,61.9,80.5,40.8,56.2,0,Pennsylvania State University
76,University of Glasgow,University of Glasgow,United Kingdom,41.6,85.8,48.3,92.3,31.6,61.9,76,0,0,0,0,0,University of Glasgow,61.9,41.6,48.3,92.3,85.8,31.6,0,University of Glasgow
76,University of Helsinki,University of Helsinki,Finland,48.4,51.8,60.4,82.1,31.6,61.9,76,0,0,0,0,0,University of Helsinki,61.9,48.4,60.4,82.1,51.8,31.6,0,University of Helsinki
78,University of Tí€Œ_bingen,University of Tí€Œ_bingen,Germany,47,58.2,59.8,79.3,59.2,61.7,78,0,0,0,0,0,University of Tí€Œ_bingen,61.7,47,59.8,79.3,58.2,59.2,0,University of Tí€Œ_bingen
79,University of Pittsburgh,University of Pittsburgh,United States of America,50.6,33.9,50.3,92.3,39.3,61.5,79,0,0,0,0,0,University of Pittsburgh,61.5,50.6,50.3,92.3,33.9,39.3,0,University of Pittsburgh
80,University of Warwick,University of Warwick,United Kingdom,47.4,90.3,53.1,78.2,37.7,61.3,80,0,0,0,0,0,University of Warwick,61.3,47.4,53.1,78.2,90.3,37.7,0,University of Warwick
